"","date","hour","j_day","day_time","month","year","filename"
"93","2014-01-09","13:00:00","9","da","01","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14009lst_da"
"94","2014-01-09","01:00:00","9","ni","01","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14009lst_ni"
"95","2014-01-17","13:00:00","17","da","01","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14017lst_da"
"96","2014-01-17","01:00:00","17","ni","01","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14017lst_ni"
"97","2014-01-25","13:00:00","25","da","01","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14025lst_da"
"98","2014-01-25","01:00:00","25","ni","01","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14025lst_ni"
"99","2014-02-02","13:00:00","33","da","02","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14033lst_da"
"100","2014-02-02","01:00:00","33","ni","02","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14033lst_ni"
"101","2014-02-10","13:00:00","41","da","02","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14041lst_da"
"102","2014-02-10","01:00:00","41","ni","02","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14041lst_ni"
"103","2014-02-18","13:00:00","49","da","02","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14049lst_da"
"104","2014-02-18","01:00:00","49","ni","02","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14049lst_ni"
"105","2014-02-26","13:00:00","57","da","02","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14057lst_da"
"106","2014-02-26","01:00:00","57","ni","02","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14057lst_ni"
"107","2014-03-06","13:00:00","65","da","03","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14065lst_da"
"108","2014-03-06","01:00:00","65","ni","03","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14065lst_ni"
"109","2014-03-14","13:00:00","73","da","03","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14073lst_da"
"110","2014-03-14","01:00:00","73","ni","03","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14073lst_ni"
"111","2014-03-22","13:00:00","81","da","03","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14081lst_da"
"112","2014-03-22","01:00:00","81","ni","03","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14081lst_ni"
